Nutrition,age,a.lf,a.ss,a.sh,a.st,a.st1,a.cp,a.cs,h.t,h.c,m.lf,m.st,m.sb,m.br,m.br,m.rf,m.rc,n.lf,n.ss,n.sb,n.rf,pft,growingCondition,status,light,group,location,latitude,longitude,vegetation,lai,map,mat
0.45 mol Na m-2,0.5,0.4,,,,,70,0.38,0.7,0.7,0.03,,,,,,,,,,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.5,1.18,,,,,82,0.53,0.8,0.8,0.09,,,,,,,,,,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.5,1.14,,,,,87,0.59,0.9,0.9,0.08,,,,,,,,,,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.5,1.34,,,,,95,0.71,1,1,0.09,,,,,,,,,,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.5,2.17,,,,,95,0.71,1,1,0.13,,,,,,,,,,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.5,1.78,,,,,113,0.99,1.1,1.1,0.13,,,,,,,,,,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.8,12.85,,,,,211,3.5,2,2,0.83,,,,,,,,,,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.8,6.36,,,,,202,3.19,2.2,2.2,0.47,,,,,,,,,,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.8,8.4,,,,,198,3.08,2.4,2.4,0.93,,,,,,,,,,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.8,6.55,,,,,206,3.33,2.7,2.7,0.55,,,,,,,,,,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.8,14.45,,,,,247,4.79,3,3,1.08,,,,,,,,,,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.8,23.36,,,,,246,4.75,3.2,3.2,1.63,,,,,,,,,,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.8,21.97,,,,,268,5.62,3.4,3.4,1.56,,,,,,,,,,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,0.8,16.27,,,,,260,5.31,3.6,3.6,1.41,,,,,,,,,,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,1,6.88,0.97,0,1.61,0.97,,,2.5,2.1,0.36,0.29,0.717,1.449,0,,,0.002,0.005,0.006,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2,1360,20
0.45 mol Na m-2,1,6.7,3.9,0,4.6,3.9,,,2.9,2.2,0.5,0.53,1.698,1.163,0,,,0.002,0.004,0.006,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2,1360,20
0.45 mol Na m-2,1,12.05,6.74,0,8.94,6.74,,,4.1,3.3,0.99,0.94,2.91,1.543,0,,,0.002,0.003,0.003,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2,1360,20
0.45 mol Na m-2,1,17.9,8.12,0,9.8,8.12,,,4.5,3.6,1.21,0.92,3.186,1.584,0,,,0.001,0.003,0.004,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2,1360,20
0.45 mol Na m-2,1,12.26,10.52,0,12.43,10.52,,,5.8,4.5,0.92,1.4,5.408,1.519,0,,,0.002,0.002,0.005,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2,1360,20
0.45 mol Na m-2,1,26.89,13.45,0,15.82,13.45,,,5.3,4.5,2,1.91,5.124,2.433,0,,,0.001,0.002,0.004,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2,1360,20
0.45 mol Na m-2,1,28.49,13.45,0,17.9,13.45,,,5.5,4.4,1.97,1.86,5.461,3.16,0,,,0.001,0.003,0.004,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2,1360,20
0.45 mol Na m-2,1,34.8,20.88,0,27.24,20.88,,,6.5,5.4,2.4,3,8.327,3.178,0,,,0.001,0.002,0.004,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2,1360,20
0.45 mol Na m-2,2,2.31,7.64,0,9.8,7.64,,,7.2,3,0.18,1.05,0.982,0.15,0.254,,,0.002,0.001,0.003,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.8,1360,20
0.45 mol Na m-2,2,4.81,15.6,0,18.14,15.6,,,8.8,6.5,0.35,2.49,3.164,0.983,0.704,,,0.002,0.001,0.003,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.8,1360,20
0.45 mol Na m-2,2,18.05,35.09,0,40.29,35.09,,,10.6,9.9,1.8,6.66,3.334,2.753,1.075,,,0.002,0.001,0.003,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.8,1360,20
0.45 mol Na m-2,2,23.56,45.84,0,55.88,45.84,,,10.7,10,2.61,9.34,5.113,3.288,1.834,,,0.002,0.001,0.003,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.8,1360,20
0.45 mol Na m-2,2,31.26,59.74,0,71.62,59.74,,,12.8,9.6,3.67,13.77,8.494,3.459,1.209,,,0.002,0.001,0.003,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.8,1360,20
0.45 mol Na m-2,2,39.17,66,0,84.05,66,,,13.2,9.3,4.04,16.51,7.517,2.177,1.493,,,0.002,0.001,0.003,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.8,1360,20
0.45 mol Na m-2,2,35,85.09,0,103.13,85.09,,,14.9,12.5,4.07,23.51,9.07,4.134,2.497,,,0.003,0.001,0.003,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.8,1360,20
0.45 mol Na m-2,2,20.41,62.84,0,76.47,62.84,,,13.8,9.4,2.07,16.09,7.612,2.951,2.46,,,0.002,0.001,0.003,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.8,1360,20
0.45 mol Na m-2,3,2.36,4.45,7.99,14.94,12.43,108,0.91,8.3,,0.27,2.86,2.237,0.301,1.205,,,0.003,0.002,0.004,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,3,8.73,12.21,22.88,41.01,35.09,125,1.23,13.3,3.6,0.79,9.81,3.978,0.708,1.133,,,0.002,0.001,0.003,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,3,8.7,18.45,33.3,61.94,51.75,137,1.47,15.9,3.7,0.92,15.04,4.041,0.683,2.449,,,0.002,0.001,0.003,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,3,20.82,23.82,46.38,79.97,70.19,186,2.72,15.2,4.2,2.05,19.02,7.406,2.162,4.291,,,0.002,0.001,0.004,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,3,26.97,31.75,57.56,106.6,89.31,113,1.01,17.5,,2.55,28.51,9.422,2.128,2.617,,,0.002,0.001,0.003,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,3,32.72,32.44,60.63,108.94,93.08,209,3.41,16.8,3.9,3.41,31.29,8.701,4.16,5.594,,,0.002,0.001,0.003,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,3,37.54,37.73,68.29,126.69,106.02,189,2.8,17.5,9.9,4.46,34.91,8.826,7.332,3.703,,,0.003,0.001,0.003,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,3,37.87,42.81,78.23,143.74,121.04,146,1.68,15.9,6.1,4.37,40.43,10.173,9.854,4.21,,,0.003,0.002,0.003,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,4,8.16,13.13,9.22,27.24,22.35,113,1,10.6,1.7,0.56,5.95,2.862,0.492,0.134,,,0.002,0.001,0.004,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,4,7.92,23.18,27.95,62.39,51.12,116,1.06,17.3,2.8,0.79,19.18,3.138,0.889,1.277,,,0.002,0.001,0.004,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,4,8.83,35.22,38.81,84.05,74.03,146,1.67,18.3,3.1,0.89,25.09,4.193,1.355,2.014,,,0.002,0.001,0.003,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,4,24.13,,,117.95,99.72,160,2,19.4,4.8,2.56,41.62,5.856,2.89,2.584,,,0.002,0.001,0.004,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,4,23.4,55.6,49.11,130.53,104.71,169,2.24,19.7,5.7,2.74,46.46,9.912,2.698,3.643,,,0.003,0.001,0.004,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,4,30.97,56.56,60.46,143.74,117.02,170,2.28,20.5,7,3.42,47.62,6.67,4.551,2.79,,,0.002,0.001,0.003,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,4,32.88,,,168.39,136.39,178,2.48,21.4,6,4.04,66.41,10.479,4.792,0.261,,,0.003,0.001,0.004,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,4,41.13,,,187.19,170.59,173,2.34,21.6,6.8,4.46,62.17,11.849,5.611,2.225,,,0.002,0.001,0.003,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,3,1360,20
0.45 mol Na m-2,5,8.68,19.39,33.58,65.09,52.97,98,0.75,17.3,2.9,0.89,20.5,,0.762,0.652,0.23,3.382,0.002,0.001,0.004,0.008,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.6,1360,20
0.45 mol Na m-2,5,6.88,22.19,44.27,74.51,66.46,80,0.5,18.7,1.9,0.83,21.34,,0.625,0.729,0.23,,0.003,0.002,0.004,0.008,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.6,1360,20
0.45 mol Na m-2,5,13.22,25.81,45.81,86.66,71.62,133,1.38,18.1,3.1,1.48,27.1,,1.99,2.008,0.23,3.887,0.002,0.001,0.004,0.008,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.6,1360,20
0.45 mol Na m-2,5,15.49,31.57,51.96,106.02,83.54,85,0.57,20.1,3.1,2.12,35.77,,1.28,0.818,0.23,7.359,0.003,0.001,0.003,0.008,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.6,1360,20
0.45 mol Na m-2,5,16.61,41.21,73.09,138.38,114.31,144,1.62,21.3,3.3,1.81,38.99,,1.564,0.295,0.23,8.166,0.002,0.001,0.003,0.008,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.6,1360,20
0.45 mol Na m-2,5,13.36,38.68,75.62,129.88,114.31,138,1.48,18.9,2.7,1.8,42.35,,1.934,2.078,0.23,,0.003,0.001,0.004,0.008,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.6,1360,20
0.45 mol Na m-2,5,26.26,50.37,96.09,169.12,146.46,144,1.62,22.4,5,3.36,59.09,,3.472,0.733,0.23,7.795,0.002,0.001,0.003,0.008,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.6,1360,20
0.45 mol Na m-2,5,42.61,56.9,107.12,191.07,164.02,200,3.14,22.5,5,5.81,73.82,,5.978,2.509,0.23,,0.003,0.001,0.003,0.008,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.6,1360,20
0.45 mol Na m-2,6,4.16,14.46,27.64,48.55,42.1,105,0.87,14.7,1,0.55,12.22,,0.361,0.439,,1.884,0.003,0.002,0.004,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0.45 mol Na m-2,6,7.29,22.48,39.91,75.49,62.39,91,0.65,17.4,1.5,0.77,20.17,,0.76,0,,,0.003,0.002,0.003,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0.45 mol Na m-2,6,9.11,27.4,45.18,91.99,72.58,104,0.85,19.7,0.8,1.05,29.55,,0.713,0.564,,3.701,0.003,0.001,0.004,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0.45 mol Na m-2,6,14.18,36.05,64.24,121.04,100.29,124,1.2,21.2,2.8,1.77,41.65,,1.511,0,,,0.003,0.001,0.004,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0.45 mol Na m-2,6,23.63,48.85,87.54,164.02,136.39,179,2.51,21.1,3.1,2.96,57.22,,4.113,0,,7.546,0.003,0.001,0.005,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0.45 mol Na m-2,6,24.14,47.35,87.72,159,135.08,149,1.74,21.2,4.5,2.68,60.12,,4.192,0,,,0.003,0.001,0.005,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0.45 mol Na m-2,6,25.01,52.8,88.92,177.29,141.71,151,1.8,22.3,4,2.74,68.02,,4.5,0,,7.501,0.003,0.002,0.004,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0.45 mol Na m-2,6,51.02,75.12,139.23,252.24,214.35,185,2.69,24.4,6.3,6.6,110.18,,8.022,0.698,,16.653,0.003,0.001,0.004,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,2.9,1360,20
0.45 mol Na m-2,7,,13.2,,44.32,,,,11.9,,0.82,,,0.85,,,,,,,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,7,,23.52,,78.96,,,,18.2,,0.68,,,1.085,,,,,,,,EA,PM,0,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,7,,32.44,,108.94,,,,20.8,,1.02,,,1.592,,,,,,,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,7,,42.81,,143.74,,,,20.3,,1.65,,,1.939,,,,,,,,EA,PM,1,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,7,,51.02,,171.33,,,,24,,3.34,,,4.338,,,,,,,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,7,,59.25,,198.94,,,,23.5,,2.8,,,4.091,,,,,,,,EA,PM,2,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,7,,70.14,,235.5,,,,24.3,,3.7,,,6.966,,,,,,,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20
0.45 mol Na m-2,7,,78.63,,264.02,,,,25.4,,4.6,,,9.375,,,,,,,,EA,PM,3,,K-depleted but NaCl addition,"Itatinga, E102",-23.04472222,-48.63,TropSF,,1360,20