Species,Total.leaf.area..cm2.,Mean.leaf.area..cm2.,Area.of.total.stem.cross.section..basal.area..mm2.,Crown.projected.area..cm2.,Height.to.crown.base..cm.,Crown.lenght..cm.,Total.height.of.plant..cm.,Specific.leaf.area..cm2.g-1.,ISF..percent...Indirect.Site.Factor..in.percent.of.above.canopy.light,LAI..cm2.cm-2.
Acer pseudoplatanus,71.4,35.7,19.63,94.25,83,,83,476,3.5,0.76
Acer pseudoplatanus,759.5,63.29,28.27,1036.73,88,22,97,404.42,4.7,0.73
Acer pseudoplatanus,701.4,46.76,38.48,824.67,88,46,130,381.61,4.8,0.85
Acer pseudoplatanus,379.3,37.93,19.63,298.45,38,72,110,452.63,5.2,1.27
Acer pseudoplatanus,923.4,46.17,28.27,1072.07,98,45,143,350.57,5.4,0.86
Acer pseudoplatanus,510.8,56.76,28.27,647.95,82,40,121,389.92,6,0.79
Acer pseudoplatanus,4902.7,57.68,63.62,2632.84,140,27,166,354.17,6.1,1.86
Acer pseudoplatanus,1125.9,62.55,28.27,1264.49,94,48,138,386.91,6.2,0.89
Acer pseudoplatanus,99.1,33.03,28.27,78.54,135,,135,254.1,7.2,1.26
Acer pseudoplatanus,2630.7,40.47,95.03,2199.11,77,126,200,264.13,8.4,1.2
Acer pseudoplatanus,4909.7,44.63,132.73,3647.39,85,115,182,255.85,10.6,1.35
Acer pseudoplatanus,2957.1,89.61,78.54,2946.81,90,60,150,267.3,11,1
Acer pseudoplatanus,6510.1,56.12,176.71,3012,75,180,250,222.8,13.5,2.16
Acer pseudoplatanus,1927.1,68.83,63.62,1317.11,153,47,195,206.77,14.5,1.46
Acer pseudoplatanus,2745.1,35.19,95.03,2544.69,85,103,180,218.39,14.9,1.08
Acer pseudoplatanus,2562.5,69.26,95.03,1845.69,119,90,207,187.11,16.5,1.39
Acer pseudoplatanus,1600.8,53.36,78.54,1462.41,103,87,181,200.7,16.8,1.09
Acer pseudoplatanus,2204.2,88.17,78.54,3769.91,103,87,183,211.94,17.4,0.58
Acer pseudoplatanus,1946.2,60.82,78.54,1993.34,126,67,187,211.54,18.6,0.98
Acer pseudoplatanus,1928.9,66.51,63.62,1956.43,114,59,166,190.79,19.4,0.99
Acer pseudoplatanus,3384,56.4,113.1,4869.47,103,122,218,202.63,19.9,0.69
Acer pseudoplatanus,4426.2,34.31,153.94,4219.16,62,131,189,174.4,21.4,1.05
Acer pseudoplatanus,5378.4,37.61,176.71,4834.91,58,214,267,187.17,22.5,1.11
Acer pseudoplatanus,3530.9,56.05,132.73,3312.81,159,126,268,196.93,23.8,1.07
Acer pseudoplatanus,6092.8,47.97,254.47,4013.38,166,144,296,178.26,24.8,1.52
Acer pseudoplatanus,12513.69,67.51,572.56,13131.86,124,206,329,175.38,25.5,0.95
Acer pseudoplatanus,7727.8,45.19,314.16,5560.62,127,218,339,176.92,26,1.39
Acer pseudoplatanus,11119.2,68.1,380.13,15315.26,199,201,390,191.61,28.6,0.73
Acer pseudoplatanus,9849.27,60.18,346.36,6214.07,190,183,370,192.78,34.5,1.58
Acer pseudoplatanus,4652,51.69,201.06,2045.18,171,156,325,144.61,35.9,2.27
Acer pseudoplatanus,15894.56,75.53,660.52,18692.48,225,185,408,233.19,38,0.85
Acer pseudoplatanus,10946.17,69.43,490.87,10112.79,219,221,434,173.03,38.8,1.08
Acer pseudoplatanus,6893.9,47.54,226.98,4998.27,121,199,318,152.25,39.9,1.38
Acer pseudoplatanus,10887.22,68.84,380.13,6465.4,219,206,420,185.28,40.5,1.68
Acer pseudoplatanus,12000.34,75.61,530.93,8207.41,279,141,415,169.14,41.1,1.46
Acer pseudoplatanus,14581.23,62.94,615.75,11584.62,247,233,475,120.46,42.1,1.26
Acer pseudoplatanus,27858.85,81.59,855.3,19132.3,275,260,534,180.8,42.3,1.46
Acer pseudoplatanus,19320.86,61.05,706.86,17388.72,238,212,444,171.44,42.5,1.11
Acer pseudoplatanus,13006.27,78.01,452.39,15550.88,312,178,490,171,45.1,0.84
Acer pseudoplatanus,11370.42,65.32,490.87,7147.12,309,171,480,179.88,46.2,1.59
Acer pseudoplatanus,14011.08,62.79,754.77,15360.82,229,211,436,176.75,46.8,0.91
Acer pseudoplatanus,23739.86,65.36,804.25,12095.13,293,262,555,162,47,1.96
Acer pseudoplatanus,24464.47,69.05,1134.11,17530.09,337,268,597,150.55,50.6,1.4
Fagus sylvatica,1819.67,9.99,63.62,2164.56,40,147,170,566.88,2.3,0.84
Fagus sylvatica,579.7,10.54,19.63,1625.77,88,49,123,438.17,3.4,0.36
Fagus sylvatica,1013.2,8.73,38.48,1914.8,87,68,144,457.84,3.9,0.53
Fagus sylvatica,872.1,13.21,28.27,2297.29,90,54,124,471.41,4.1,0.38
Fagus sylvatica,4685.99,14.84,78.54,5684.71,75,83,145,518.19,4.4,0.82
Fagus sylvatica,5457.54,16.23,78.54,3553.14,22,128,140,399.23,5.5,1.54
Fagus sylvatica,730.2,7.77,38.48,1402.72,63,97,142,482.94,5.5,0.52
Fagus sylvatica,1395.2,8.83,38.48,1484.4,37,100,119,390.37,8,0.94
Fagus sylvatica,1390.1,11.68,28.27,2450.44,53,77,124,318.83,9.2,0.57
Fagus sylvatica,2428.6,9.2,63.62,2596.53,35,117,135,355.06,9.5,0.94
Fagus sylvatica,4507.84,10.37,78.54,4523.89,24,156,168,344.21,11.2,1
Fagus sylvatica,5064.5,16.23,78.54,5301.44,44,143,172,423.1,11.6,0.96
Fagus sylvatica,4504.91,11.2,95.03,2492.85,26,144,159,276.54,13,1.81
Fagus sylvatica,5679.62,13.62,95.03,2325.56,66,112,174,296.28,13.6,2.44
Fagus sylvatica,4018.3,12.33,132.73,3121.96,47,128,170,224.36,15,1.29
Fagus sylvatica,6222.7,14.19,132.73,4242.72,36,164,193,315.78,15.7,1.47
Fagus sylvatica,1835.9,11.23,50.27,2638.94,46,109,155,307.42,17.3,0.7
Fagus sylvatica,10456.38,13.32,176.71,8326.79,59,176,223,312.32,17.9,1.26
Fagus sylvatica,6159.58,14.05,95.03,8697.5,30,180,210,316.04,19.3,0.71
Fagus sylvatica,13788.94,17.39,226.98,10504.7,34,213,239,297.62,20,1.31
Fagus sylvatica,11418.07,18.05,254.47,13579.53,72,223,286,247.57,20.8,0.84
Fagus sylvatica,17176.12,16.38,314.16,11859.51,35,265,294,259.22,21.6,1.45
Fagus sylvatica,14266.69,10.95,283.53,15654.56,103,179,280,242.8,24.3,0.91
Fagus sylvatica,25001.02,22.38,452.39,22776.55,80,285,360,254.2,24.7,1.1
Fagus sylvatica,24086.75,13.3,572.56,18024.89,75,195,244,218.97,27.1,1.34
Fagus sylvatica,60294.32,23.2,907.92,25723.36,151,309,448,316.34,29,2.34
Fagus sylvatica,37922.39,21.97,754.77,18260.51,114,301,404,253.34,29.5,2.08
Fagus sylvatica,14098.98,33.89,490.87,9330.53,237,203,434,256.07,34.6,1.51
Fagus sylvatica,21332.81,25.01,490.87,7602.65,163,237,394,233.63,35.3,2.81
Fagus sylvatica,56164.57,19.46,1194.59,28706.3,159,336,495,318.19,36.8,1.96
Fagus sylvatica,13166.2,18.49,346.36,8865.57,36,234,267,226.89,37.1,1.49
Fagus sylvatica,53459,22.52,1452.2,40019.96,227,313,540,285.71,40.1,1.34
Fagus sylvatica,27536.55,18.13,660.52,19352.21,157,233,383,271.99,42.1,1.42
Fagus sylvatica,28190.98,17.14,615.75,18742.74,108,237,345,247.62,43.5,1.5
Fagus sylvatica,27427.63,28.93,660.52,27237.61,90,422,512,249.39,44.3,1.01
Fagus sylvatica,42925.94,26.73,804.25,20910.44,222,278,469,215.81,45.1,2.05
Fagus sylvatica,16540.78,17.42,572.56,9801.77,145,255,395,252.09,45.9,1.69
Fagus sylvatica,21814.19,14.89,660.52,12558.52,82,288,370,203.74,46.6,1.74
Fagus sylvatica,38057,22.3,855.3,19715.06,213,287,497,292.97,47.4,1.93
Fagus sylvatica,67574.4,27.28,530.93,37820.46,250,340,590,227.58,49,1.79
Fraxinus excelsior,1121.4,74.76,28.27,1074.42,78,57,130,267.64,3.1,1.04
Fraxinus excelsior,139.7,13.97,38.48,451.6,161,,164,288.04,4,0.31
Fraxinus excelsior,490.47,23.36,28.27,596.9,103,61,159,466.23,4.1,0.82
Fraxinus excelsior,206.1,10.85,38.48,268.54,48,102,149,471.62,4.3,0.77
Fraxinus excelsior,493.3,41.11,28.27,1017.09,74,68,134,310.25,4.9,0.49
Fraxinus excelsior,274.9,19.64,19.63,433.54,84,56,139,378.65,5,0.63
Fraxinus excelsior,1677.9,30.51,78.54,1674.47,47,146,186,361.62,6.5,1
Fraxinus excelsior,240.28,17.16,28.27,301.59,122,32,154,390.06,7.1,0.8
Fraxinus excelsior,2329.2,59.72,113.1,3097.61,68,117,171,309.2,9.2,0.75
Fraxinus excelsior,3170.2,45.29,78.54,3078.76,38,124,153,263.96,9.4,1.03
Fraxinus excelsior,4086.1,75.67,95.03,3471.46,24,193,201,293.33,10,1.18
Fraxinus excelsior,933,40.57,63.62,797.18,86,67,151,296.19,10.1,1.17
Fraxinus excelsior,6114,115.36,176.71,5537.06,123,140,258,161.15,11.2,1.1
Fraxinus excelsior,6689.4,80.6,153.94,12095.13,84,196,267,275.06,11.5,0.55
Fraxinus excelsior,6202.6,92.58,132.73,4201.88,127,93,210,212.13,12.6,1.48
Fraxinus excelsior,6322.8,100.36,95.03,4058.94,57,183,229,249.86,14.1,1.56
Fraxinus excelsior,2492.9,83.1,63.62,2701.77,94,78,169,198.8,14.7,0.92
Fraxinus excelsior,7125.2,75.8,201.06,5525.28,107,229,329,225.67,16.9,1.29
Fraxinus excelsior,14109.4,86.56,380.13,16570.33,76,304,380,202,18.3,0.85
Fraxinus excelsior,2107.9,72.69,50.27,1837.83,71,99,168,223.46,18.9,1.15
Fraxinus excelsior,15743.91,74.68,452.39,15162.11,110,295,405,206.4,19.9,1.04
Fraxinus excelsior,3490.1,64.63,95.03,2505.42,65,109,169,206.64,20.7,1.39
Fraxinus excelsior,7790.6,103.87,176.71,5958.78,83,192,260,238.43,21.2,1.31
Fraxinus excelsior,4958.6,86.99,153.94,3998.03,76,189,263,209.31,23,1.24
Fraxinus excelsior,4341.3,73.58,95.03,2730.83,80,130,209,208.32,24.1,1.59
Fraxinus excelsior,4916.5,61.46,176.71,3188.72,92,180,270,181.62,25.5,1.54
Fraxinus excelsior,10493.8,64.78,254.47,5607.74,43,180,223,213.9,25.8,1.87
Fraxinus excelsior,12603.25,91.32,314.16,16132.08,153,202,355,176.54,27.6,0.78
Fraxinus excelsior,15263.62,108.62,283.53,12368.45,104,236,333,188.37,29.3,1.23
Fraxinus excelsior,8742.2,77.36,226.98,8494.08,174,156,330,170.35,34.7,1.03
Fraxinus excelsior,12050.69,79.03,380.13,8062.9,240,225,465,155.81,39.8,1.49
Fraxinus excelsior,38414.32,105.86,804.25,21219.89,110,373,483,189.08,41.7,1.81
Fraxinus excelsior,6911.51,78.54,254.47,6635.04,263,114,377,179.68,44.1,1.04
Fraxinus excelsior,21369.88,82.36,962.11,14993.25,264,256,520,159.33,44.4,1.43
Fraxinus excelsior,32005.73,119.86,754.77,24657.58,237,273,510,170.63,45.33,1.3
Fraxinus excelsior,10871,103.53,346.36,16155.64,243,167,402,165.14,46.4,0.67
Fraxinus excelsior,31139.27,114.32,1017.88,18158.41,225,395,620,168.83,47.8,1.71
Fraxinus excelsior,28695.94,172.29,804.25,30167.14,292,246,534,151.12,48.1,0.95
Fraxinus excelsior,23086.01,99.15,660.52,14686.95,199,246,445,156.67,49.1,1.57
Fraxinus excelsior,19729.14,156.95,572.56,22282.53,327,153,480,166.6,50,0.89
Fraxinus excelsior,20316.84,97.35,962.11,33080.97,250,220,468,124.39,52.8,0.61
Fraxinus excelsior,30811.93,135.61,804.25,19792.03,168,332,500,158.92,54.5,1.56
Fraxinus excelsior,34320.15,111.93,804.25,22619.47,194,326,520,158.85,56.4,1.52
Fraxinus excelsior,41281.03,109.16,1075.21,17120.11,207,378,585,158.21,57.6,2.41
Fraxinus excelsior,24742.86,121.07,804.25,13571.68,325,255,580,143.42,59.6,1.82