Species,Tree No.,D (cm),DBut (cm),D0 (cm),D30 (cm),D0.1 (cm),DB (cm),H (m),HBut (m),HB (m),R (m),V (m3),WS (kg),WB (kg),WL (kg),U (m2)
Shorea laevis,166,,130.5,,,140.7,84.3,70.7,4.6,30.5,24.2,41.13,33129.768,9586.12,107.614,767.372
Dipterocarpus crinitus,639,127,137,,,112,85,46.5,0.9,18,19,20.31,16291.214,7815.26,127.21,968.015
Dialium platycephalum,507,,64.1,,,63.6,52.4,43.5,4.2,27.5,13.8,9.593,6327.74,1022.78,52.844,465.666
Hopea mangerawan,333,64.3,66,,,58.9,44.8,42.5,1.2,26.5,12.5,7.257,4250.199,490.652,8.265,71.236
Shorea ovalis,165,58.6,61,,,57,35.9,42.1,0.6,26,7.1,5.755,1972.916,238.826,25.192,237.031
Hopea mangerawan,168,46.5,47.5,,,44.1,40,37.2,1,21.6,5.7,3.527,1994.26,217.54,22.825,239.923
Hopea mangerawan,311,53.4,58,,,51.2,33.2,40.7,0.9,27.5,9.7,5.386,3343.066,391.293,26.331,263.635
Hopea mangerawan,654,48.1,48.2,,,43.5,30.7,38.3,1,27.5,15,3.686,2110.43,218.71,23.868,217.217
Santiria tomentosa,33,29.5,33.8,,,27.8,26.3,30,0.7,12.3,14.1,1.204,563.74,398.3,18.501,130.976
Baccaurea deflexa,147,25.3,29.6,,28.3,24.9,20.5,26.1,0.3,13.3,6,0.7879,431.452,107.634,11.307,109.929
Polyalthia glauca,149,22.1,,33.6,29.7,21.2,17.2,19.3,,11.6,10.9,0.4579,252.61,55.72,8.695,89.367
Horsfieldia grandis,162,20.8,,27.2,24,19.6,7,23.4,,21.5,6.2,0.3679,185.838,4.671,1.63,10.677
Litsea sp.,164,22.9,,28.3,24.1,21.9,13.6,26.8,,20.2,3.1,0.6228,226.494,12.396,0.782,5.706
Dialium sp.,167,22.6,25.3,,,21.5,18.1,24.7,0.4,14.1,4.2,0.541,353.58,83.132,6.733,103.705
Dialium indum,181,26.3,,32.3,29.5,23.2,13.4,33.5,,27.1,4.2,0.8669,498.997,16.249,3.625,18.488
Baccaurea sp.,182,25,,31,27.4,24,17.3,27.7,,16,6.4,0.7085,387.085,84.154,14.25,90.156
Elaeocarpus sp.,291,20.2,21.2,,,19.5,18.8,24.6,0.8,10.3,5.4,0.4104,200.734,65.14,11.413,129.22
Strombosia rotundifolia,502,25.6,,40,36.1,23.8,19.3,28.9,,16.8,6.8,0.8101,575.266,42.778,8.78,82.453
Drypetes sp.,515,36,37,,,32.1,25.5,27,1.2,15.3,5.7,1.348,876.291,213.234,18.695,145.315
Aporosa sphaedophora,657,25.4,,38.4,29.6,24.2,18.1,24.4,,16.3,7.1,0.7781,389.71,74.68,13.329,134.053
Dryobalanops sp.,661,30.1,31.6,,,29.3,25.7,31.9,0.8,20.8,7.9,1.573,790.21,43.63,7.441,110.519
Xanthophyllum heteropleurum,161,12.8,,14.4,11.8,13.5,10,12.5,,7.5,5.8,0.09144,55.732,22.424,4.195,45.219
Dialium indum,187,13.5,14.6,,,11.2,8.1,20,0.8,13.6,5.3,0.2986,117.407,17.969,3.01,34.766
Girroniera nervosa,188,15.3,,18,15.3,15,7.7,17.2,,12.7,7.9,0.1655,65.232,6.712,2.686,23.952
Strombosia sp.,189,10.5,,16.4,11.5,10.5,7.4,11.6,,6.4,4.1,0.0575,32.3,4.858,1.685,14.475
Eugenia sp.,198,11.9,12.5,,,12.3,9.8,16.3,0.5,8.4,5.3,0.09771,76.933,25.151,4.954,69.964
Xanthophyllum heteropleurum,201,13.7,,15.6,13.8,13.6,10.7,15.9,,9.3,5.4,0.1354,85.228,28.185,3.836,37.092
Baccaurea sp.,204,19,22,,,17.5,15.2,18,0.6,7.8,7.1,0.2942,159.356,16.736,1.565,23.425
Artocarpus anisophyllus,299,11.4,,16.2,12.5,11.4,3.2,13.7,,11,1.7,0.06319,21.706,0.154,0.321,3.512
Oxymitra grandiflora,308,19,,23.8,20.5,18.2,13.7,16.2,,5.9,7,0.191,103.597,46.757,11.523,86.823
Polyalthia rumphii,309,9.8,,12.6,11,9.4,8,15,,6.4,6.9,0.06337,39.648,8.911,2.242,27.834
Ostodes macrophylla,312,12.2,,19,14.4,11.6,8.6,14.8,,9.1,4.2,0.08518,38.88,5.643,1.084,14.953
Myristica sp.,313,10.4,,15.3,12.1,10.8,10.2,13,,8,1.8,0.0727,32.859,1.104,1.229,9.997
Baccaurea pendula,317,16.3,,27.9,19.8,16.1,12.7,20,,13.6,6.4,0.4648,156.44,8.292,1.035,11.551
Santiria tomentosa,338,12.2,14.7,,13.3,12,7.5,18.6,0.2,12.9,5.3,0.1231,64.431,9.46,1.427,16.177
Dialium indum,644,14.8,15.6,,,14,11.5,25,0.8,14.4,3.3,0.2867,206,11.359,2.519,23.576
Dillenia excemia,646,15,15.8,,,14.3,11.1,16.7,0.7,10.8,4.1,0.1807,104.591,9.346,0.925,12.061
Polyalthia glauca,656,11.6,,15.3,13.5,11.7,9.9,12.3,,5.5,6.9,0.07469,39.724,20.351,7.348,85.325
Ochanostachys sp.,664,12.2,,16,12.6,12.2,6.7,17.6,,12.6,3.4,0.1246,70.939,5.268,1.165,18.186
Milletia sericea,148,6.2,,7.1,6.3,6.2,5,10.3,,5.3,2.9,0.01812,12.867,2.282,0.973,16.393
Aporosa elmeri,179,6.4,,11.5,9.7,6.6,6,12.4,,6.8,2.2,0.02844,16.959,2.629,1.279,13.056
Ochanostachys amentacea,180,5.9,,7.5,6.3,7.2,4,9.1,,6.6,3.5,0.01553,9.197,1.689,0.309,5.454
Neoscortechinia kingii,183,7.5,,9.6,7.9,7.6,5.6,12.7,,6.6,3.2,0.03405,21.098,3.618,1.147,11.257
Sindora sp.,184,5.8,,8.8,6.6,6.1,5.3,7.7,,3.4,1.7,0.01351,8.396,0.569,0.119,1.563
Beilschmiedia sp.,185,7.7,,9.4,8.4,7.7,1.7,7.2,,6.3,1.3,0.02446,12.089,0.045,0.05,0.579
Santiria operculata,186,5.6,,7.2,6.1,5.5,3.3,8.8,,7.6,1.8,0.01312,5.602,0.238,0.605,5.149
Aporosa elmeri,190,6,8.4,,,6.3,5.2,8.9,0.4,4.9,3.3,0.01786,10.718,2.265,0.862,10.775
Polaquem dasyphyllum,191,5.6,,7,6.2,5.8,3.6,8.1,,5.8,1.8,0.01247,5.669,0.291,0.112,1.191
Sterculia rubiginosa,197,5.3,,6.7,6.6,5.4,2.6,7.4,,5.4,2.4,0.009439,3.138,0.377,0.119,2.532
Aporosa elmeri,199,4.6,,5.8,5.3,4.8,3.7,8.8,,5.1,3.1,0.009044,5.645,1.457,0.785,12.693
Neoscortechinia kingii,200,5.7,,7,6.3,5.9,3.7,10.5,,5.5,2.5,0.0153,9.425,1.71,0.831,10.387
Barringtonia macrostachy,202,7.1,,11.7,9.9,11.8,2,5,,3.6,1.2,0.01957,7.107,0.12,0.329,4.876
Eugenia cuprea,203,6.9,,10.7,7.8,7,5.8,12.7,,7,4.4,0.0326,20.996,5.294,1.36,21.691
Milletia sericea,292,5.1,,6.3,5.4,5.2,5.7,8.9,,3.5,2.1,0.009073,6.195,2.998,0.349,4.383
Pometia tomentosa,294,5.3,,6.7,5.6,5.3,3.2,10,,7.4,2,0.01572,4.848,0.45,0.499,6.497
Strombosia sp.,295,5.4,,6.6,5.6,5.3,4.5,10.3,,5.4,3.2,0.0143,9.841,2.289,1.179,12.549
Eugenia cuprea,310,6.8,,8.2,7.4,6.9,5.3,11.2,,7,3.7,0.02596,18.112,4.1,1.521,23.899
Polyalthia glauca,314,9,,10.5,9.9,8.9,7.2,10,,6,5.3,0.04349,22.486,8.713,2.872,34.071
Shorea laevis,504,5.5,,5.6,5.5,5.6,4,10.3,,6.6,3.9,0.0149,7.297,1.099,1.002,12.287
Aporosa elmeri,505,4.5,,5.3,4.9,4.9,4,8.6,,4,2.7,0.008345,5.26,1.056,0.6,7.429
Aporosa elmeri,506,5.4,,6,5.7,5.6,4.3,8.6,,4.1,2.7,0.0199,6.937,1.84,0.982,12.887
Litsea noronhae,522,8.4,,10.4,7.9,7.8,5.8,9.5,,5.1,3.5,0.02823,10.42,1.22,1.144,8.569
Ochanostachys amentacea,627,4.9,,4.8,6,5.4,3.2,7.9,,5.3,2.9,0.0083,5.96,0.768,0.252,4.639
Dillenia excelsa,629,4.6,,5.4,4.7,4.7,2.4,7.9,,6.1,1,0.007769,3.77,0.081,0.261,1.837
Baccaurea kunstleri,631,8.3,,9.7,10,8.3,6,12.7,,10,3.8,0.04757,31.041,2.972,0.422,6.706
Aporosa elmeri,633,4.7,,6,5.4,5.1,4.2,8.1,,3,3,0.008494,5.095,1.056,0.692,9.587
Shorea leprosula ,636,5.1,,6.6,6.1,5.3,3.5,9.7,,6.4,2.8,0.01206,4.742,0.808,0.468,7.853
Aporosa sphaedophora,637,5,,6.3,5.5,5.1,4,10,,4.2,2.3,0.01797,5.738,1.244,0.705,11.318
Milletia sericea,640,5,,6,5.7,5.8,3.7,9.5,,4.2,1.9,0.009788,3.68,0.565,0.841,11.119
Mallotus echinatus,641,5.2,,6.4,5.5,5.3,4.4,9.6,,4.5,2.1,0.01209,6.663,1.309,0.712,10.18
Unidentified sp.,643,7.1,,8.1,14.6,7.1,5.2,13.4,,7.4,3.1,0.0247,17.123,2.61,0.591,6.701
Malotus echinatus,645,4.5,,5.7,5.2,5,1.5,6.5,,5.1,0.9,0.00605,3.667,0.083,0.05,0.411
Drypetes sp.,647,5,,6.1,5.4,5.1,3.4,9.7,,5.5,2.2,0.01048,7.717,1.042,0.561,5.868
Dacryodes rugosa,648,5.1,,6.8,5.6,5.1,3.4,9.6,,5.5,2.2,0.01054,6.572,0.669,0.352,3.404
Baccaurea pendula,682,5.6,,7.1,6,5.8,3.6,9.1,,7.1,4.2,0.01408,8.982,1.18,0.532,10.018
Baccaurea sp.,1139,4.6,,6.8,5.4,4.9,3.5,8,,3.8,1,0.00853,4.589,1.049,0.617,5.794